	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
괴롭다	내가 해 줄 수 있는 게 아무것도 없을 때의 무력감은 괴롭다.	괴롭다	이전과 달리 글이 잘 안 쓰여서 괴롭다. 	괴롭다	괴롭게 숨을 거칠게 내쉬었다.	괴롭게	괴로운 소식을 전하는 전령의 표정도 좋지 않았다.	괴로운	계단에 숨어 괴롭게 흐느끼는 모습을 보니 마음이 쓰였다. 	괴롭게	홀로 남겨졌다는 괴로움을 이기지 못해 삶을 마감하려 했다고 답했다.	괴로움
근심하다	그렇게 헤어지고 다시는 못 볼까 매일을 근심했어	근심했어	근심하는 그녀에게 다가가 조용히 등을 토닥였다.	근심하는	근심이라고는 한 번도 겪어보지 않은 것 같은 삶을 살게 해 줄게.	근심	더해지기만 하는 근심에 질식할 것 같은 기분이 들었다.	근심	자신만 근심하고 애쓰는 것 같다는 느낌이 들어 외로웠다.	근심	온갖 근심이 몰려와도 낙심하지 않고 꿋꿋하게 도전을 이어갔다.	근심
망연자실하다	소매치기를 당한 그는 망연자실하였다.	망연자실하였다	친구가 망연자실한 모습을 바라보는 것은 힘든 일이다. 	망연자실한	그 선생은 학생들이 모두 떠나간 교실에 망연자실 서 있었다. 	망연자실	망연자실한 친구를 달래기 위해 좋아하는 음식을 죄다 포장해왔다.	망연자실한	망연자실하여 닫혀있는 문을 바라보기만 했다.	망연자실하여	자신에게 기회조차 주어지지 않았다는 사실에 망연자실했다.	망연자실했다
불행하다	방임하는 부모 아래에서 살아남은 어린시절은 불행했다.	불행했다	그 불행한 사건과 같은 일이 벌어지지 않도록 힘써야 한다.	불행한	어느 날 마을에 나타난 그는 몹시 불행하게 여겨졌다. 	불행하게	나는 마녀가 낳은 불행한 아이라는 말을 양분으로 삼아 성장했다. 	불행한	불행한 일이 연달아 일어나자 황실에서는 기도를 올리자는 의견이 분분했다.	불행한	검은 털을 가진 새의 존재를 불행하게 여기게 되었다. 	불행하게
서글프다	내 신세가 문득 서글펐다.	서글펐다	서글픈 마음을 품고 돌아섰다.	서글픈	야산에서 가끔 들려오는 새들의 울음소리는 서글프게 들린다.	서글프게	자신을 떠나가는 사람들에게 정을 떼지 못해 매번 서글프게 울었다.	서글프게	눈물이 맺힌 눈가는 서글프게 붉어 있었다.	서글프게	서글픈 마음을 달래줄 순 없겠지만 네가 괜찮아질 때 까지 함께 있을게.	서글픈
신물나다	진심이라고는 없는 의례적인 말을 건네는 관계속 나의 모습이 신물났다. 	신물났다	신물나는 연락들로 울리는 핸드폰을 뒤집어 놓았다.	신물나는	내 재산을 노리고 접근한 사람들은 신물나게 많았다.	신물나게	익숙해졌다고 생각했지만 지긋지긋할 정도로 신물나는 상황에 목구멍이 따가웠다. 	신물나는	어렸을 때 부터 딱지가 앉고 신물이 날 정도로 많이 들은 말이었다. 	신물이 날	시골에서 자랐기에 풀 냄새는 신물나게 익숙했다.	신물나게
좌절하다	사고 이후 꿈을 이룰 수 없게 된 화가는 크게 좌절하였다. 	좌절하였다	친구는 좌절한 나에게 용기를 주었다.	좌절한	마음껏 도전하고 좌절하기에는 그 과정에서 소요되는 것들을 감당할 수 없는 상황이었다.	좌절	지시를 거부하면서까지 벌인 일이건만 결과는 좌절감을 안겨 줄 뿐이었다. 	좌절감	노력한 만큼 크게 좌절하는 과거의 자신이 안쓰럽게 느껴졌다. 	좌절하는	이전의 좌절은 뒤로 한 채 기분 전환을 위해 떠났다.	좌절
자괴	모든 걸 망쳤다는 자괴감이 나를 덥쳤다.	자괴감	하는 일마다 족족 실패하는 스스로에게 자괴가 느껴졌다.	자괴	노력해도 나아지지 않는 상황이 답답하여 자괴의 탄식을 삼켰다. 	자괴	자신의 능력이 모자란 게 아닐까 하는 의심이 시작되어 자괴감이 스멀스멀 자랐다.	자괴감	그녀의 충동적인 면모는 그녀 자신에게도 큰 자괴감을 주었다. 	자괴감	계획한 대로 실행하지 못했다는 생각에 자괴감이 몰려왔다.	자괴감
자책하다	집중이 되지 않았다고는 해도 	자책하였다	자책하는 나에게 그러지 말라고 말해주어서 정말 고마웠다.	자책하는	모든 게 나 때문이라는 자책감은 쉽게 떨치기 힘들다.	자책감	누가 너한테 이런 자책감을 안겨 주었는지 한탄스러울 지경이다.	자책감	기대했던 것 보다 싸늘한 반응에 팀장님은 자책하며 슬퍼했다.	자책하며	앞에서는 내색하지 않더니 속으로는 자책하고 있던 모양이었다.	자책하고
절망하다	아무도 자신을 바라지 않는다는 사실에 절망했다.	절망했다	소꿉친구가 절망하는 모습은 지켜보기 힘들었다. 	절망하는	준비하던 프로젝트가 무산되자 절망에 빠졌다. 	절망	시대를 아우르는 청년들의 절망감은 이전과는 결이 다른 것이었다.	절망감	절망하는 내색조차 없었기에 미처 신경써주지 못했다.	절망하는	자신도 모르는 사이에 꼭두각시가 되어 위험한 일에 가담했다는 사실에 절망했다.	절망했다
한스럽다	제 의지대로 따라주지 않는 몸이 한스럽다.	한스럽다	소중한 인연을 놓친 것이 한스러울 뿐이었다.	한스러울	어리석게도 힘들 때 곁에 있어주지 못한 것이 한스럽기만 했다. 	한스럽기만	원망의 대상은 이미 죽어 스러졌으니 한스럽기만 한 감정만이 남아있었다.	한스럽기만	한스러운 시간은 쏜살같이 흐르니 벌써 이별할 시간이었다.	한스러운	진작 알아보지 못한 것이 한스럽게 느껴질 정도였다. 	한스럽게
죄스럽다	도와주지 못한 것이 죄스러웠다.	죄스러웠다	다수를 살리기 위한 선택이었지만 사람들이 괴로워하는 모습을 보니 죄스러울 뿐이었다. 	죄스러울	이리 힘든 시기에 따뜻한 방에서 자고, 밥을 먹는 것이 죄스러워서 어떤 방식으로든 도움을 줄 수 있는 방법을 모색했다. 	죄스러워서	고개를 들 낯이 없다며 죄스러워했다.	죄스러워	죄스러워서 인사조차 하지 않고 떠났노라는 편지를 받았다.	죄스러워서	죄스러운 기색이었으나 그것까지 신경써야할 이유는 없었다.	죄스러운
죄의식	생존한 기사들은 세상을 떠난 동지들에게 죄의식을 갖고 있었다. 	죄의식	아무런 이유 없이 사람을 폭행하여 잔혹하게 죽인 살인자는 일말의 죄의식도 없어 보였다. 	죄의식	사람을 살리는 직업이기도 하지만, 때로는 죄의식을 느끼기도 했다. 	죄의식	죄의식이라고는 존재하지 않는 듯 또다시 범행을 저질렀다.	죄의식	죄의식조차 없어 잔혹한 범죄를 저지르던 살인자가 잡혔다는 소식에 나라가 떠들썩했다.	죄의식	교도소에서는 죄의식이라는 단어를 무엇보다도 중요하게 여겨 수감자들에게 교육을 제공한다.	죄의식
죄책감	어깨를 무겁게 짓누르는 죄책감이 버거웠다. 	죄책감	지난 날의 죄책감을 잊지 않되 멈추지 말고 나아가세요. 	죄책감	불의를 보고도 외면했다는 죄책감이 나를 괴롭혔다.	죄책감	그제서야 행동이 빨라지는 것을 보니 상황에 대한 죄책감이 있기는 한 모양이었다. 	죄책감	그녀에게는 자신을 거쳐간 환자들에 대한 죄책감과 책임감만 남았다. 	죄책감	죄책감으로 가득찬 그는 방에서 한 발자국도 나오지 않았다.	죄책감
지긋지긋하다	나도 모르는 새에 정해진 진로나 배우자 따위가 지긋지긋했다.	지긋지긋했다	홀가분한 마음으로 지긋지긋한 회사를 떠났다. 	지긋지긋한	내로라하는 사업가들을 지긋지긋하게 만났지만, 그 중에서도 가히 대단한 사람이었다. 	지긋지긋하게	지긋지긋하게 느껴지던 간섭은 모두 애정에서 비롯된 것이었다.	지긋지긋하게	지긋지긋한 장소였지만 막상 철거된다고 하니 신경이 쓰였다.	지긋지긋한	지긋지긋할 정도로 양산해내는 사람들의 욕심이 역겨울 지경이었다.	지긋지긋할
질리다	반복되는 일상에 몹시 질렸다.	질렸다	그녀는 유명인의 가십거리만이 오가는 대화에 질린 모양이었다. 	질린	대화를 회피하는 연인의 태도는 나를 질리게 한다. 	질리게	질리도록 들은 말들이 나를 옥죄어 왔다.	질리도록	질릴 만큼 똑같은 대답이 돌아오니 대화를 이어갈 의지조차 없어졌다.	질릴	질릴 정도로 들은 말들이 그리워지는 날이 올 줄은 몰랐다.	질릴
겁나다	방치되어 불조차 들어오지 않는 어두운 공간이 겁났다. 	겁났다	나를 어떻게 생각하는 지에 대한 대답이 겁나서 차마 물어보지 못했다.	겁나서	자신의 소중한 이를 지키기 위해서는 무엇도 겁나지 않았다. 	겁나지	그제서야 군중들이 겁나는 모양이었는지 지도자는 긴급 회의를 열었다.	겁나는	보복이 겁나 밖에 나갈 때는 꼭 모자를 쓰곤 했다.	겁나	전장이 익숙한 나조차도 겁날만큼 근엄한 기세를 풍기고 있었다. 	겁날만큼
격앙하다	황위의 후계자와 관련되어 각 계파의 주장이 거세지며 회의장의 분위기는 격앙되었다. 	격앙되었다	격앙된 어조로 소리를 빽 질렀다.	격앙된	격앙상태의 사람에게 다가가는 것은 위험하다.	격앙	자식들 앞에서 격앙된 모습을 보이기 싫어하셨다. 	격앙된	그의 행동은 나를 진정시키기커녕 되려 격앙시키고 말았다. 	격앙시키다	격앙하는 사람들의 질서는 칭찬받아야 하는 것이 아니라, 그조차 지켜야 하는 사회적 분위기를 지적해야 한다.	격앙하는
격하다	주취자들의 몸싸움이 매우 격했다. 	격했다	당분간 격한 움직임은 자제하세요.	격한	뻔뻔한 범죄자는 자신에게 내려진 판결을 격하게 부정했다. 	격하게	격하게 몸을 부딪히는 경기를 보면 저절로 걱정이 되었다.	격하게	이유는 알 수 없으나 이전부터 파란색에 격한 반응을 보이며 거부했다. 	격한	다른 사람들과 격하게 구는 동생이 이해가지 않았다.	격하게
노엽다	평화로운 풍경은 여유 없는 나를 비웃기라도 하듯 노엽다.	노엽다	어머니께서는 나의 희생에 노여운 얼굴이셨다. 	노여운	선생님은 학생의 반항이 그저 노엽지만은 않았다. 	노엽지	황제는 황태자가 반란을 꾀했다는 사실에 노엽게 호통을 쳤다. 	노엽게	노엽게 화를 내며 근신을 명하던 모습은 온데간데없고 고생했다며 환하게 맞아주었다. 	노엽게	노여울만큼 예의라고는 없는 행동에 화가 머리 끝까지 차올랐다.	노여울
기겁하다	허리를 숙여 절을 올리는 와중에 뱀이 기어오는 것을 보고 기겁했다. 	기겁했다	다른 사람이 있을 거라고 예측하지 못했는지 기겁한 모습이었다. 	기겁한	알 수 없는 소리에 기겁하여 뒤도 돌아보지 않고 달리기 시작했다. 	기겁하여	토악질이 나올 정도로 해괴한 모습에 기겁했다. 	기겁했다	기겁하는 눈초리는 곧 존경하는 눈빛으로 바뀔 것이기에 크게 신경쓰지 않았다.	기겁하는	그의 비열함에 기겁해 자신은 저러지 않겠다 다짐했다.	기겁해
기절초풍하다	태연하게 자리에서 일어나는 모습을 보고 기절초풍했다. 	기절초풍했다	그곳에 있던 모든 사람이 기절초풍할 만큼 충격적인 소식이었다. 	기절초풍할	자초지종을 듣기도 전에 기절초풍하여 자리에 주저앉았다. 	기절초풍하여	기절초풍하는 어머니에게 상황을 설명할 정도의 시간은 없었다. 	기절초풍하는	그제서야 팔을 걷히고 일을 시작하는데 정말 기절초풍할 노릇이었다. 	기절초풍할	그의 갑작스러운 등장에 기절초풍하여 말조차 나오지 않았다. 	기절초풍하여
뜨악하다	요즘 중학교 친구들과의 관계가 뜨악했다. 	뜨악했다	뜨악한 얼굴로 나를 바라보았다.	뜨악한	그 손님들은 식사가 끝난 후 지갑을 가지고 오지 않았다며 나를 뜨악하게 만들었다. 	뜨악하게	곰팡이가 핀 식재료로 가득찬 냉장고를 보자 뜨악했다.	뜨악했다	뜨악하는 마음을 애써 감추고 궁금한 점을 하나씩 물어보았다.	뜨악하는	뜨악하며 경악할 정도였다.	뜨악하며
두렵다	나는 내가 어쩌지 못하는 것이 두렵다. 그저 받아들여만 하는 것들이.	두렵다	두려울 것이 없다는 건 책임질 것이 아무것도 없을 때 뿐이다.	두려울	선생님의 엄포는 나를 두렵게 만들었다. 	두렵게	두려울 정도로 사랑하게 되는 일이 자신에게 일어날 줄 몰랐다.	두려울	그렇게나 두려워하던 무력감이 자신을 지배했다.	두려워하는	두려워하는 기색을 보이기 싫어하는 모습이 퍽 귀여웠다.	두려워하는
비분강개하다	백성을 고려하지 않는 독재적인 정치에 비분강개하였다.	비분강개하였다	그 취객은 돌연 비분강개하여 달려들었다. 	비분강개하여	가만히 잘 참는 듯 하더니 이내 비분강개를 터뜨렸다. 	비분강개	돌연 비분강개하며 주변사람들을 당황시키곤 했다.	비분강개	지식인은 머리에 들어선 것이 다들 없냐며 비분강개를 금하지 못했다. 	비분강개	비분강개에 그치기보다는 힘을 합쳐 문제를 타파해야 했다.	비분강개
